Orthogroup	pbar_genome.OGS.1.2.maker.proteins	acep_genome.OGS.1.2.maker.proteins
OG0000031	PBAR_PB22676-RA	ACEP_ACEP_00008393-RA
OG0000031	PBAR_PB16444-RA	ACEP_ACEP_00014038-RA
OG0000031	PBAR_PB23489-RA, PBAR_PB21981-RA, PBAR_PB23488-RA	ACEP_ACEP_00014977-RA, ACEP_ACEP_00001158-RA, ACEP_ACEP_00001157-RA
OG0000031	PBAR_PB22688-RA	ACEP_ACEP_00008394-RA
OG0000031	PBAR_PB24448-RA	ACEP_ACEP_00007362-RA
OG0000032	PBAR_PB14735-RA	ACEP_ACEP_00013149-RA, ACEP_ACEP_00013148-RA, ACEP_ACEP_00013147-RA, ACEP_ACEP_00015207-RA
OG0000032	PBAR_PB22438-RA	ACEP_ACEP_00016989-RA, ACEP_ACEP_00016988-RA, ACEP_ACEP_00000363-RA
OG0000032	PBAR_PB20791-RA	ACEP_ACEP_00017955-RA
OG0000032	PBAR_PB22578-RA	ACEP_ACEP_00015194-RA
OG0000033	PBAR_PB17796-RB	ACEP_ACEP_00011572-RA
OG0000034	PBAR_PB10084-RA, PBAR_PB10313-RA, PBAR_PB13570-RA, PBAR_PB21972-RA, PBAR_PB15197-RA, PBAR_PB10558-RA, PBAR_PB10416-RA, PBAR_PB11174-RA	ACEP_ACEP_00013554-RA
OG0000034	PBAR_pbar_CG32645-like-1, PBAR_PB10623-RA, PBAR_PB17935-RA, PBAR_PB10582-RA, PBAR_PB10116-RA, PBAR_PB10301-RA, PBAR_PB10432-RA, PBAR_PB10439-RA, PBAR_PB10719-RA, PBAR_PB10555-RA, PBAR_PB15093-RA, PBAR_PB17133-RA	ACEP_ACEP_00016786-RA
OG0000035	PBAR_PB16372-RA	ACEP_ACEP_00017794-RA
OG0000035	PBAR_PB16373-RA	ACEP_ACEP_00012575-RA, ACEP_ACEP_00012577-RA, ACEP_ACEP_00017793-RA
OG0000035	PBAR_PB26592-RA	ACEP_ACEP_00017795-RA, ACEP_ACEP_00016515-RA
OG0000035	PBAR_PB16374-RA	ACEP_ACEP_00017792-RA
OG0000035	PBAR_PB16376-RA, PBAR_PB16375-RA	ACEP_ACEP_00012571-RA
