Orthogroup	pbar_annotation	lhum_annotation
OG0000011	PBAR_17807-RA	LHUM_11850-RA, LHUM_17571-RA, LHUM_16721-RA, LHUM_19727-RA, LHUM_23847-RA, LHUM_11317-RA, LHUM_22545-RA, LHUM_15100-RA, LHUM_15699-RA
OG0000011	PBAR_21450-RA	LHUM_14376-RA, LHUM_11884-RA, LHUM_19997-RA, LHUM_11335-RA, LHUM_19723-RA, LHUM_12750-RA, LHUM_10125-RA, LHUM_10021-RA, LHUM_20494-RA, LHUM_14439-RA, LHUM_11174-RA
OG0000013	PBAR_14568-RA, PBAR_10939-RA, PBAR_11363-RA, PBAR_21986-RA, PBAR_14813-RA, PBAR_18652-RA, PBAR_11298-RA, PBAR_10615-RA, PBAR_11307-RA, PBAR_17804-RA, PBAR_15153-RA, PBAR_10118-RA, PBAR_14814-RA, PBAR_11038-RA, PBAR_11591-RA, PBAR_14950-RA, PBAR_18202-RA, PBAR_11602-RA, PBAR_25124-RA, PBAR_14343-RA, PBAR_11365-RA, PBAR_18204-RA, PBAR_14822-RA	LHUM_10721-RA
OG0000017	PBAR_10081-RA, PBAR_10600-RA, PBAR_10080-RA	LHUM_15216-RA
OG0000018	PBAR_22777-RA	LHUM_11733-RA
OG0000018	PBAR_15055-RA, PBAR_14570-RA	LHUM_10169-RA
OG0000018	PBAR_23634-RA, PBAR_19920-RA, PBAR_24729-RA, PBAR_10426-RA, PBAR_18791-RA	LHUM_23654-RA
OG0000019	PBAR_20487-RA, PBAR_11160-RA, PBAR_10150-RA, PBAR_15373-RA, PBAR_10547-RA, PBAR_15368-RA, PBAR_15372-RA, PBAR_26535-RA, PBAR_18595-RA, PBAR_15371-RA, PBAR_15365-RA, PBAR_23061-RA, PBAR_15369-RA, PBAR_18574-RA, PBAR_13414-RA, PBAR_13412-RA, PBAR_23596-RA, PBAR_23595-RA, PBAR_26417-RA, PBAR_13413-RA, PBAR_13411-RA, PBAR_13410-RA	LHUM_23241-RA
OG0000021	PBAR_25919-RA	LHUM_14900-RA, LHUM_24991-RA, LHUM_13484-RA, LHUM_13483-RA, LHUM_14899-RA
OG0000021	PBAR_25918-RA	LHUM_19960-RA, LHUM_15387-RA, LHUM_15385-RA, LHUM_17270-RA, LHUM_17269-RA
OG0000021	PBAR_17995-RA	LHUM_24684-RA
OG0000021	PBAR_16983-RA	LHUM_17459-RA
OG0000021	PBAR_14321-RA	LHUM_13481-RA, LHUM_21433-RA, LHUM_15684-RA, LHUM_15683-RA
OG0000022	PBAR_19745-RA	LHUM_10827-RA
OG0000022	PBAR_26159-RA, PBAR_10304-RA, PBAR_26160-RA	LHUM_25883-RA, LHUM_25885-RA
OG0000022	PBAR_26161-RA	LHUM_18177-RA
OG0000022	PBAR_21817-RA	LHUM_20614-RA, LHUM_20612-RA
OG0000023	PBAR_18719-RA	LHUM_10560-RA, LHUM_25299-RA, LHUM_26016-RA, LHUM_13383-RA, LHUM_25475-RA, LHUM_10559-RA, LHUM_10080-RA, LHUM_13874-RA, LHUM_10830-RA, LHUM_12473-RA, LHUM_25441-RA, LHUM_10114-RA, LHUM_22538-RA, LHUM_10345-RA, LHUM_10511-RA, LHUM_25265-RA, LHUM_14403-RA, LHUM_14679-RA, LHUM_23888-RA, LHUM_10512-RA, LHUM_14404-RA, LHUM_22764-RA, LHUM_10443-RA, LHUM_15619-RA
OG0000024	PBAR_18065-RA	LHUM_25577-RA
OG0000024	PBAR_19339-RA	LHUM_14564-RA
OG0000025	PBAR_16491-RA	LHUM_19303-RA, LHUM_10501-RA, LHUM_15781-RA, LHUM_15782-RA, LHUM_15663-RA, LHUM_10491-RA, LHUM_10599-RA, LHUM_15181-RA
OG0000025	PBAR_16489-RA, PBAR_11210-RA	LHUM_18358-RA
OG0000025	PBAR_16490-RA	LHUM_19302-RA
OG0000025	PBAR_16089-RA	LHUM_18359-RA
OG0000027	PBAR_12530-RA	LHUM_17512-RA
