Orthogroup	acep_annotation	lhum_annotation
OG0000012	ACEP_00013934-RA, ACEP_00017889-RA, ACEP_00017885-RA, ACEP_00017886-RA, ACEP_00013937-RA, ACEP_00013938-RA, ACEP_00017888-RA, ACEP_00017887-RA, ACEP_00013940-RA, ACEP_00013936-RA, ACEP_00016698-RA, ACEP_00013935-RA, ACEP_00013941-RA, ACEP_00002534-RA, ACEP_00013929-RA, ACEP_00016542-RA, ACEP_00011335-RA, ACEP_00011334-RA, ACEP_00013932-RA, ACEP_00013933-RA, ACEP_00016888-RA, ACEP_00017892-RA, ACEP_00013930-RA, ACEP_00016568-RA, ACEP_00013931-RA, ACEP_00017890-RA, ACEP_00017891-RA, ACEP_00013939-RA, ACEP_00017893-RA	LHUM_25635-RA
OG0000013	ACEP_00005882-RA, ACEP_00005028-RA, ACEP_00005884-RA, ACEP_00003519-RA, ACEP_00013392-RA	LHUM_10721-RA
OG0000015	ACEP_00011212-RA	LHUM_17201-RA
OG0000015	ACEP_00007913-RA	LHUM_22972-RA, LHUM_22973-RA, LHUM_22971-RA
OG0000015	ACEP_00013383-RA	LHUM_15377-RA
OG0000015	ACEP_00004912-RA	LHUM_24864-RA
OG0000015	ACEP_00011420-RA	LHUM_22588-RA
OG0000015	ACEP_00005351-RA	LHUM_11436-RA
OG0000015	ACEP_00004355-RA	LHUM_22827-RA
OG0000015	ACEP_00007915-RA	LHUM_22967-RA
OG0000015	ACEP_00000592-RA	LHUM_18098-RA
OG0000015	ACEP_00006043-RA	LHUM_16527-RA
OG0000015	ACEP_00003337-RA	LHUM_21322-RA
OG0000015	ACEP_00000585-RA	LHUM_21811-RA, LHUM_18089-RA
OG0000017	ACEP_00010789-RA, ACEP_00007768-RA, ACEP_00012481-RA, ACEP_00003080-RB, ACEP_00007753-RA, ACEP_00007774-RA, ACEP_00003080-RA, ACEP_00010760-RA, ACEP_00010763-RA, ACEP_00010761-RA, ACEP_00007754-RA, ACEP_00001102-RA, ACEP_00008120-RA, ACEP_00007755-RA, ACEP_00003079-RA, ACEP_00007769-RA, ACEP_00004448-RA, ACEP_00017271-RA, ACEP_00004449-RA, ACEP_00004499-RA, ACEP_00017276-RA, ACEP_00004450-RA, ACEP_00007857-RA, ACEP_00010762-RA	LHUM_15216-RA
OG0000019	ACEP_00010748-RA, ACEP_00002730-RA, ACEP_00018129-RA, ACEP_00014796-RA	LHUM_23241-RA
OG0000021	ACEP_00001863-RA	LHUM_14900-RA, LHUM_24991-RA, LHUM_13484-RA, LHUM_13483-RA, LHUM_14899-RA
OG0000021	ACEP_00002023-RA	LHUM_19960-RA, LHUM_15387-RA, LHUM_15385-RA, LHUM_17270-RA, LHUM_17269-RA
OG0000021	ACEP_00002493-RA	LHUM_17459-RA
OG0000021	ACEP_00002022-RA, ACEP_00001864-RA	LHUM_13481-RA, LHUM_21433-RA, LHUM_15684-RA, LHUM_15683-RA
OG0000022	ACEP_00004135-RA	LHUM_10827-RA
OG0000022	ACEP_00002259-RA	LHUM_23507-RA
OG0000022	ACEP_00018172-RA	LHUM_25883-RA
OG0000022	ACEP_00017875-RA	LHUM_25885-RA
OG0000022	ACEP_00015834-RA, ACEP_00015835-RA	LHUM_18177-RA
OG0000022	ACEP_00010322-RA	LHUM_20614-RA, LHUM_20612-RA
OG0000023	ACEP_00003721-RA	LHUM_10560-RA, LHUM_25299-RA, LHUM_26016-RA, LHUM_13383-RA, LHUM_25475-RA, LHUM_10559-RA, LHUM_10080-RA, LHUM_13874-RA, LHUM_10830-RA, LHUM_12473-RA, LHUM_25441-RA, LHUM_10114-RA, LHUM_22538-RA, LHUM_10345-RA, LHUM_10511-RA, LHUM_25265-RA, LHUM_14403-RA, LHUM_14679-RA, LHUM_23888-RA, LHUM_10512-RA, LHUM_14404-RA, LHUM_22764-RA, LHUM_10443-RA, LHUM_15619-RA
OG0000024	ACEP_00002550-RA	LHUM_25577-RA
OG0000024	ACEP_00004337-RA	LHUM_22821-RA
OG0000024	ACEP_00014771-RA	LHUM_25997-RA
OG0000024	ACEP_00017286-RA	LHUM_22816-RA, LHUM_22820-RA
OG0000024	ACEP_00004333-RA	LHUM_22817-RA
OG0000024	ACEP_00004336-RA	LHUM_22822-RA
OG0000024	ACEP_00004339-RA, ACEP_00004340-RA	LHUM_22823-RA
OG0000024	ACEP_00000478-RA	LHUM_17303-RA
OG0000024	ACEP_00002381-RA, ACEP_00002382-RA	LHUM_14564-RA
OG0000025	ACEP_00001487-RA	LHUM_19303-RA, LHUM_10501-RA, LHUM_15781-RA, LHUM_15782-RA, LHUM_15663-RA, LHUM_10491-RA, LHUM_10599-RA, LHUM_15181-RA
OG0000025	ACEP_00009611-RA, ACEP_00004839-RA	LHUM_14938-RA, LHUM_19095-RA
OG0000025	ACEP_00009610-RA	LHUM_17652-RA, LHUM_25219-RA, LHUM_18358-RA, LHUM_19302-RA, LHUM_18359-RA
OG0000028	ACEP_00005915-RA	LHUM_20985-RA, LHUM_13235-RA, LHUM_25190-RA, LHUM_14430-RA, LHUM_15605-RA, LHUM_23742-RA
OG0000028	ACEP_00009725-RA	LHUM_22976-RA, LHUM_13320-RA, LHUM_22974-RA, LHUM_15095-RA, LHUM_15602-RA, LHUM_10040-RA, LHUM_10741-RA, LHUM_23188-RA, LHUM_25256-RA
OG0000028	ACEP_00008106-RA	LHUM_15604-RA
OG0000029	ACEP_00015407-RA	LHUM_10639-RA
OG0000029	ACEP_00015406-RA	LHUM_10374-RA, LHUM_10373-RA, LHUM_12262-RA, LHUM_25438-RA, LHUM_10007-RA, LHUM_10861-RA, LHUM_10375-RA, LHUM_10275-RA, LHUM_10860-RA, LHUM_13179-RA, LHUM_13310-RA, LHUM_10368-RA, LHUM_25440-RA, LHUM_10862-RA, LHUM_10072-RA, LHUM_10640-RA, LHUM_13311-RA, LHUM_25439-RA
OG0000030	ACEP_00014567-RA	LHUM_11893-RA
OG0000030	ACEP_00011589-RA	LHUM_10457-RA
OG0000031	ACEP_00008394-RA	LHUM_14542-RA
OG0000031	ACEP_00007362-RA	LHUM_24723-RA
OG0000031	ACEP_00014980-RA	LHUM_15985-RA
OG0000031	ACEP_00014038-RA	LHUM_22979-RA
OG0000031	ACEP_00014977-RA	LHUM_22512-RA
OG0000031	ACEP_00001158-RA, ACEP_00001157-RA	LHUM_24672-RA
OG0000032	ACEP_00013148-RA, ACEP_00013149-RA, ACEP_00013147-RA, ACEP_00015207-RA	LHUM_10529-RA, LHUM_16692-RA
OG0000032	ACEP_00017955-RA	LHUM_15681-RA
OG0000032	ACEP_00015194-RA	LHUM_24088-RA
OG0000033	ACEP_00011572-RA	LHUM_10063-RA
OG0000033	ACEP_00014894-RA	LHUM_15893-RA, LHUM_13233-RA, LHUM_12281-RA, LHUM_11509-RA, LHUM_12279-RA, LHUM_11578-RA, LHUM_12283-RA
OG0000035	ACEP_00017794-RA	LHUM_18464-RA
OG0000035	ACEP_00012576-RA, ACEP_00012578-RA	LHUM_25730-RA
OG0000035	ACEP_00012571-RA	LHUM_18458-RA
OG0000035	ACEP_00017795-RA, ACEP_00016515-RA, ACEP_00017792-RA, ACEP_00012573-RA	LHUM_25728-RA
OG0000037	ACEP_00013966-RA	LHUM_11288-RA
OG0000037	ACEP_00009266-RA, ACEP_00009267-RA, ACEP_00009275-RA, ACEP_00004597-RA, ACEP_00009354-RA, ACEP_00013962-RA, ACEP_00013968-RA, ACEP_00013969-RA, ACEP_00013970-RA	LHUM_10353-RA
OG0000038	ACEP_00009900-RA, ACEP_00001993-RA, ACEP_00015496-RA, ACEP_00011218-RA, ACEP_00015498-RA, ACEP_00015493-RA, ACEP_00015494-RA, ACEP_00015495-RA, ACEP_00000642-RA, ACEP_00016538-RA, ACEP_00005121-RA, ACEP_00016855-RA, ACEP_00018011-RA, ACEP_00016857-RA, ACEP_00016856-RA, ACEP_00005122-RA, ACEP_00005123-RA, ACEP_00013958-RA, ACEP_00015492-RA	LHUM_23078-RA
OG0000039	ACEP_00015337-RA, ACEP_00008124-RA, ACEP_00015336-RA	LHUM_20394-RA
OG0000039	ACEP_00010233-RA	LHUM_24044-RA
OG0000039	ACEP_00010236-RA	LHUM_26075-RA
OG0000039	ACEP_00010237-RA	LHUM_24045-RA
OG0000039	ACEP_00002484-RA, ACEP_00002461-RA	LHUM_15650-RA
OG0000040	ACEP_00004980-RA	LHUM_14672-RA, LHUM_15166-RA, LHUM_10123-RA, LHUM_24293-RA
OG0000040	ACEP_00010442-RA	LHUM_12797-RA, LHUM_11199-RA, LHUM_10641-RA, LHUM_11590-RA, LHUM_11589-RA, LHUM_22486-RA, LHUM_14800-RA
OG0000040	ACEP_00000900-RA, ACEP_00011861-RA	LHUM_14792-RA, LHUM_25482-RA
OG0000041	ACEP_00012909-RA	LHUM_10454-RA
OG0000041	ACEP_00000919-RA, ACEP_00000899-RA, ACEP_00005895-RA, ACEP_00015619-RA, ACEP_00008490-RA, ACEP_00001156-RA, ACEP_00010438-RA, ACEP_00012190-RA, ACEP_00014737-RA, ACEP_00012229-RA, ACEP_00014610-RA, ACEP_00014268-RA	LHUM_10336-RA, LHUM_14522-RA, LHUM_15403-RA
OG0000043	ACEP_00012175-RA	LHUM_14451-RA, LHUM_23197-RA, LHUM_15107-RA, LHUM_15103-RA, LHUM_23878-RA, LHUM_11864-RA, LHUM_16625-RA, LHUM_12395-RA, LHUM_20431-RA, LHUM_14819-RA, LHUM_20696-RA, LHUM_10441-RA, LHUM_15104-RA, LHUM_23238-RA, LHUM_14453-RA, LHUM_10088-RA, LHUM_10533-RA, LHUM_23669-RA, LHUM_19914-RA, LHUM_10236-RA
OG0000044	ACEP_00011839-RA	LHUM_12469-RA, LHUM_11594-RA, LHUM_11141-RA, LHUM_10087-RA, LHUM_10515-RA, LHUM_10282-RA, LHUM_11595-RA
OG0000044	ACEP_00011929-RA	LHUM_12807-RA
OG0000044	ACEP_00006037-RA	LHUM_11143-RA, LHUM_21774-RA, LHUM_10853-RA, LHUM_20539-RA, LHUM_22243-RA
OG0000045	ACEP_00011526-RA	LHUM_11180-RA, LHUM_22566-RA
OG0000045	ACEP_00003507-RA	LHUM_10622-RA, LHUM_19273-RA, LHUM_11488-RA, LHUM_20306-RA, LHUM_11176-RA, LHUM_10168-RA, LHUM_11179-RA, LHUM_13964-RA, LHUM_10625-RA, LHUM_12306-RA, LHUM_11356-RA, LHUM_23990-RA, LHUM_23189-RA, LHUM_15668-RA
OG0000046	ACEP_00010407-RA	LHUM_12517-RA
OG0000046	ACEP_00011725-RA	LHUM_11735-RA, LHUM_14322-RA, LHUM_10434-RA, LHUM_11546-RA, LHUM_14426-RA, LHUM_11784-RA, LHUM_12518-RA, LHUM_15687-RA, LHUM_11547-RA, LHUM_10437-RA, LHUM_14323-RA, LHUM_12520-RA, LHUM_11548-RA, LHUM_25229-RA, LHUM_11785-RA, LHUM_11736-RA, LHUM_12519-RA
OG0000047	ACEP_00015573-RA	LHUM_12051-RA
OG0000047	ACEP_00015568-RA	LHUM_14011-RA, LHUM_14010-RA, LHUM_25533-RA, LHUM_25532-RA, LHUM_24049-RA, LHUM_15063-RA, LHUM_25539-RA, LHUM_25538-RA, LHUM_13852-RA, LHUM_19459-RA, LHUM_13844-RA, LHUM_25535-RA, LHUM_18149-RA, LHUM_19196-RA, LHUM_20668-RA, LHUM_25536-RA
OG0000048	ACEP_00013355-RA	LHUM_12558-RA
OG0000051	ACEP_00011133-RA	LHUM_10134-RA
OG0000051	ACEP_00011508-RA, ACEP_00011136-RA, ACEP_00001316-RA, ACEP_00001315-RA, ACEP_00001314-RA, ACEP_00011142-RA, ACEP_00001306-RA, ACEP_00011140-RA, ACEP_00011139-RA, ACEP_00001310-RA, ACEP_00011138-RA, ACEP_00011141-RA, ACEP_00001307-RA, ACEP_00001311-RA, ACEP_00001309-RA	LHUM_10136-RA
OG0000052	ACEP_00004420-RA	LHUM_17100-RA
OG0000052	ACEP_00002294-RA	LHUM_17822-RA
OG0000052	ACEP_00003359-RA	LHUM_21131-RA
OG0000052	ACEP_00002295-RA	LHUM_17808-RA
OG0000052	ACEP_00002297-RA	LHUM_17810-RA, LHUM_17809-RA
OG0000053	ACEP_00017832-RA	LHUM_25360-RA
OG0000053	ACEP_00014151-RA, ACEP_00014152-RA	LHUM_22632-RA
OG0000053	ACEP_00011979-RA	LHUM_18023-RA
OG0000053	ACEP_00017833-RA	LHUM_19794-RA, LHUM_26018-RA
OG0000054	ACEP_00011265-RA	LHUM_13585-RA
OG0000054	ACEP_00014842-RA	LHUM_16335-RA
OG0000055	ACEP_00003796-RA	LHUM_24002-RA
OG0000055	ACEP_00011962-RA	LHUM_16175-RA
OG0000055	ACEP_00000666-RA	LHUM_18070-RA
OG0000055	ACEP_00017915-RA	LHUM_19162-RA
OG0000056	ACEP_00014563-RA	LHUM_24291-RA
